Nom de l'entreprise,Membre WEDOOR (1 ou 0),Adresse de l'entreprise,Ville de l'entreprise,Code Postal de l'entreprise,Horaires d'ouverture Semaine,Horaires d'ouverture WE,Numéro de téléphone,Lien du site web
AVENIR FERMETURES,1,17 Rue Robert Schuman,SAINT-VIT,25410,Lundi - Vendredi : 9h00 à 12h00 / 14h00 à 18h00,Samedi : 9h00 à 12h00 / 14h00 à 18h00,03 63 35 21 78,https://wedoor.fr/expert/porte-de-garage-besancon
AVENIR FERMETURES,1,6 Rue Alexandre Graham Bell,RIOZ,70190,Lundi - Vendredi : 9h00 à 12h00 / 14h00 à 18h00,Samedi : 9h00 à 12h00 / 14h00 à 18h00,06 19 36 97 02,https://wedoor.fr/expert/porte-de-garage-a-rioz/
DEXTER,1,6 rue d'Epernay,MOREY SAINT-DENIS,21220,Lundi - Vendredi : 9h00 à 12h00 / 13h30 à 18h00,Samedi : 9h00 à 12h00 / 13h30 à 18h00,03 80 62 74 26,https://wedoor.fr/expert/porte-de-garage-dijon
JMG EXTÉRIEUR,1,45 rue du vieux Moulin,MUSIEGES,74270,Lundi - Vendredi : 9h00 à 12h00 / 14h00 à 18h00,Samedi : 9h00 à 12h00 / 14h00 à 18h00,09 75 91 88 16,https://wedoor.fr/expert/porte-de-garage-annecy
LS VERANDA,1,40 Avenue Général de Gaulle,SAINT-PARRES-AUX-TERTRES,10410,Lundi - Vendredi : 9h00 à 12h00 / 14h00 à 18h00,,03 25 70 80 19,https://wedoor.fr/expert/porte-de-garage-troyes/
NOVACESS,1,5 Rue de la Verrerie,FONTANIL-CORNILLON,38120,Lundi - Jeudi : de 09h à 17h,,03 83 47 09 42,https://wedoor.fr/expert/porte-de-garage-grenoble
RENAISSANCE,1,3 All. des goutterons,ANDRÉZIEUX-BOUTHÉON,42160,Lundi - Jeudi : de 09h00 à 12h00 / 14h00 à 19h00,Vendredi : de 09h00 à 12h00 / 14h00 à 18h00,03 83 47 09 42,https://wedoor.fr/expert/porte-de-garage-saint-etienne
STORES FERMETURES,1,54 bis Rue du Général Leclerc,GOLBEY,88190,Lundi - Vendredi : de 09h00 à 19h00,,03 29 34 01 02,https://wedoor.fr/expert/porte-de-garage-epinal
ALSAFERM SARL,0,2 rue André Citroen,SAINTE CROIX EN PLAINE,68127,Lundi - Vendredi : de 09h00 à 12h00 / 14h00 à 17h00,, 03 89 62 42 71,
ARCADES & BAIES SARL GERBODIN,0,59 Avenue du Général de Gaulle,LA CHÂTAIGNERAIE,85120,Lundi - Vendredi : de 09h00 à 12h30 / 14h00 à 18h00,Samedi : 09h00 à 12h30,02 51 69 62 67,
ARMORY TECNI'LOGIS,0,73 Rue de Bretagne,BEAUCE,35133,Lundi - Vendredi : de 09h00 à 12h00 / 14h00 à 18h00,,02 99 17 04 97,
ART FERMETURES 52,0,1 impasse des Mennetriers,SAINTS GEOSMES,52200,Lundi - Vendredi : de 09h00 à 12h00 / 14h00 à 18h00,Samedi : de 09h00 à 11h30,03 25 88 57 51,
ART FERMETURES ETALANS,0,3 rue Plaine Chaux,ÉTALANS,25580,Lundi - Vendredi : de 09h00 à 12h00 / 14h00 à 18h00,Samedi : 09h00 à 12h00,03 81 53 17 42,
ARTISAL ISO2000 FERMETURES,0,8 rue de l'Oberlach,BURNHAUPT LE BAS,68520,Lundi - Vendredi : de 08h00 à 12h00 / de 13h30 à 17h30,,03 89 62 72 72,
ARTS & FENETRES 51,0,9 Rue des Compagnons,CORMONTREUIL,51350,Mardi - Vendredi : de 9h00 à 12h00 / 13h30 à 18h00,Samedi : de 09h00 à 12h00 / 14h00 à 17h00,03 26 78 00 00,
ATAM,0,11 Route de Neuilly,CHAUMONT,52000,Lundi - Vendredi : de 8h00 à 12h00 / de 13h30 à 18h30,,03 25 01 39 36,
AVENIR ELEC et Fermetures,0,6 Route de Dijon,SAINT-AUBIN,39410,Lundi Mardi Jeudi Vendredi : de 09h00 à 12h00 / de 14h00 à 17h30,Mercredi : de 09h à 12h00,03 84 70 19 56,
BIEBER PVC,0,1 Rue Tiergarten,DIEMERINGEN,67430,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,Samedi : de 09h00 à 12h00,03 88 00 48 08,
BOULICOT BRANDAO MENUISERIE,0,50 Rue de Pasquis,MONTLUÇON,03100,Lundi - Vendredi : de 08h00 à 12h00 / de 14h00 à 18h30,Samedi : de 09h00 à 11h00,04 70 64 63 48,
CAPITOUL OUVERTURES Sarl,0,26 Rue Raymond Grimaud,BLAGNAC,31700,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,,05 61 15 77 93,
Drôme Portail et Fermetures,0,45 Avenue de Marseille,VALENCE,26000,Fermé Temporairement,,04 75 58 78 58,
ENERGIE STORES,0,2 Allée des Tilleuls,HEILLECOURT,54180,Lundi - Vendredi : de 08h30 à 12h00 / de 13h30 à 16h00,,03 83 96 54 66,
ESPACE FENETRES,0,193 Rue Bertholet,LUDRES,54710,Non communiqué,,03 83 26 12 11,
ESPACE PRIVILEGE - ATM,1,Rue des Ceps,SAINT GERMAIN DU PUY,18390,Lundi - Samedi : de 09h00 à 12h00 / de 14h00 à 18h00,,02 48 27 91 91,https://wedoor.fr/expert/porte-de-garage-bourges/
EURO PVC,0,689 Avenue de Dunkerque,LILLE,59160,Lundi - Vendredi : de 09h00 à 18h00,,03 20 00 70 00,
FAS,0,299 Route de Combes,SAINT-CLAIR Saint-Clair,07430,Lundi - Vendredi : de 07h30 à 17h00,,04 75 32 46 36,
FENBERG SAS,0,24a Rue du Général Leclerc,ECKWERSHEIM,67550,Lundi - Vendredi : de 08h30 à 12h00 / 13h30 à 17h30,,03 88 96 01 26,
FENE-TRALU SARL,0,33 Avenue de l'Étoile du Sud,GLISY,80440,Lundi - Vendredi : de 10h00 à 12h00 / de 13h30 à 18h00,,03 22 91 68 76,
FENETRES FERMETURES DU DOUBS,0,Zone Artisanale de la Combe Parnette,LAVANS-QUINGEY,25440,Lundi - Vendredi : de 09h00 à 18h00,,03 81 84 64 04,
Fermetures de la Vallée,0,6 Rue du Climont,VILLÉ,67220,Lundi - Vendredi : de 07h30 à 12h00 / 13h30 à 17h30,,03 90 57 85 36,
FERMITAL,0,14 Rue des Pyrénées,BRUNSTATT-DIDENHEIM,68350,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,Samedi : de 09h00 à 12h00 / de 14h00 à 17h00,03 89 89 39 00,
FERMOTEC,0,12 Rue du Bois d'Orly,AUGNY,57685,Lundi - Vendredi : De 08h00 à 12h00 / 14h00 à 18h00,,03 87 60 55 73,
FORMA,0,9 Impasse de la Forge,THILLOIS,51370,Lundi - Vendredi : de 09h00 à 12h30 / de 13h30 à 18h30,Samedi : de 09h00 à 12h30 / de 13h30 à 17h30,03 26 40 01 98,
GCDH Nord,0,87 Avenue de Lanessan,CHAMPAGNE-AU-MONT-D'OR,69410,Lundi - Vendredi : 09h00 à 12h00 / 14h00 à 18h00,,04 78 02 18 47,
GENERATION CONFORT HABITAT,0,2a Place du Marché,SAINT-SYMPHORIEN-D'OZON,69360,Lundi - Vendredi : de 09h00 à 13h00 / 14h00 à 18h00,,03 26 78 00 01,
GIRY ET FILS SARL,0,Chez Racine,LA MONNERIE LE MONTEL,63650,Lundi - Vendredi : de 09h00 à 17h00,,04 73 51 48 18,
HAMON METALLERIE,0,Lieu dit Ker Eugène,LA GOUESNIERE,35350,Lundi - Jeudi : de 09h00 à 12h00 / de 13h30 à 17h30,Vendredi : de 09h00 à 12h00,02 99 89 19 27,
HARDY STORES ET FERMETURES,0,1B AV LUXEMBOURG,LONGLAVILLE,54810,Lundi - Vendredi : de 09h00 à 11h30 / 14h00 à 18h00,,03 82 25 75 06,
ISO55 SAS,1,1 Rue de la Scierie,HAIRONVILLE,55000,Lundi - Vendredi : de 08h30 à 12h00 / 13h30 à 18h00,,03 29 71 34 36,https://wedoor.fr/expert/porte-de-garage-bar-le-duc/devis-porte-de-garage-bar-le-duc/
JEAN-CHRISTOPHE CHARBONNIER,0,116 ROUTE DE POITIERS,COUZEIX,87270,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,,05 19 08 01 05,
L'ART DE LA POSE,0,5558 RD 1082,LA FOUILLOUSE,42480,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 17h00,,04 77 34 35 00,
L'ATELIER BOIS 22,0,1 rue de la Croix Denis,TREGUEUX,22950,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 17h30,,02 96 78 19 77,
LAVIGNE PRADIER EURL,0,2 place Grande Fontaine,MAURS,15600,Lundi - Vendredi : de 07h30 à 12h30 / de 13h00 à 19h00,,06 79 50 97 58,
LES FERMETURES RHODANIENNES,0,7 rue tronchet,LYON 6E ARRONDISSEMENT,69006,Lundi - Vendredi : de 10h00 à 18h00,,04 78 17 74 63,
LM Menuiserie,0,9 zac du soriech,LATTES,34970,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,,04 67 22 03 20,
LORIENT MIROITERIE,0,1 rue Jean Brito,GUIDEL,56520,Lundi - Vendredi : de 09h00 à 17h30,,02 97 88 16 63,
MARCHAL FERMETURES SARL,0,7 ZAC Varonne,TREVENANS,90400,Lundi - Vendredi : de 08h00 à 12h00 / de 14h00 à 18h00,,03 84 57 33 63,
MENUBOIS,0,117 RUE MICHEL RONDET,RIORGES,42153,Lundi - Vendredi de 09h00 à 12h00 / de 14h00 à 18h30,Samedi : de 09h00 à 12h00,04 77 70 89 32,
MENUISERIE BARRE,0,38 RUE LINOT-COLLOT,SEZANNE,51120,Lundi - Vendredi : de 09h00 à 12h00 / de 13h30 à 17h30,,03 26 81 35 30,
MENUISERIE DU SOLEIL,0,15 route d'Epernay,SAINT GIBRIEN,51510,Lundi - Vendredi : de 09h00 à 12h00 / de 14h00 à 18h00,,03 26 65 20 20,
MENUISERIE FRISON,0,40 Grand rue,GILLEY,52500,Lundi - Vendredi : de 07h30 - 12h00 / 13h30 à 18h00,,03 25 88 78 03,
MENUISERIE PERROUX,0,ZA LA MASSANE,SAINT REMY DE PROVENCE,13210,Lundi - Vendredi : de 08h à 18h00,,04 90 92 56 52,
Menuiserie Petit SARL,0,12 rue du moulin,DOMMARIEN,52190,Lundi - Vendredi : Ouvert 24h/24h,,03 25 84 78 88,
Menuiserie TISSOT,0,Z.I. Rue des Méraillis,LES FOURGS,25300,Lundi - Vendredi : de 09h00 à 12h00 / de 13h0O à 17h00,,03 81 69 49 26,
MENUISERIE TREHANT,0,3 Rue de la Combe,BELLEHERBE,25380,Lundi - Vendredi : de 09h00 à 18h00,,03 81 44 37 28,
MENUISERIE VIELFAURE Stéphane,0,7 rue Henri Rassemusse,SAINT FLOUR,15100,Lundi - Vendredi : de 08h30 à 17h30,,04 71 20 73 72,
MENUISERIES BICHOT,0,42 RUE DU BOIS POUTY,MOUROUX,77120,Lundi - Samedi : de 08h00 à 18h00,,01 64 03 45 69,
MP DOMOTIK,0,1151 ROUTE DE L'ALBANAIS,GRESY SUR AIX,73100,Lundi - Vendredi : de 08h00 à 17h00,,04 79 88 05 77,
MRG Habitat,1,13 chemin de la Praille,THOIRY,01710,Lundi - Vendredi : de 08h00 à 17h00,,04 50 59 85 35,https://wedoor.fr/expert/porte-de-garage-pays-de-gex/
OXYGEN57,0,7B route de Nancy,SARREBOURG,57400,Lundi - Vendredi : de 09h00 à 17h00,,03 87 07 04 40,
PADINI sarl,0,999 Z.I heckenwald,LONGEVILLE LES SAINT AVOLD,57740,Lundi - Vendredi : de 09h00 à 18h00,,03 87 90 74 95,
PORTANEUF SARL,0,ZA du saule fendu,MAILLOT,89100,Lundi - Vendredi : de 09h00 à 18h00,,03 86 95 53 24,
PROFIL PLUS,0,7 A Rue de la Gare,NEUBOURG,67350,Lundi - Vendredi : de 09h00 à 18h00,,03 88 90 45 28,
RENAISSANCE 43 SARL,0,16 RTE DE LA CHARTREUSE,LE MONTEIL,43700,Lundi - Vendredi : de 08h00 à 17h00,,04 71 05 76 57,
RIOUX SAS,0,3 impasse docteur Audubert,TULLE,19000,Lundi - Vendredi : de 09h00 à 19h00,,05 55 20 14 07,
ROCH FERMETURES SARL,0,140 rue du Pont de Dranse,PUBLIER,74500,Lundi - Vendredi : de 08h30 à 18h00,,04 50 04 29 77,
Rovaltain Menuiseries,0,ZI La Verdière,SAINT PAUL LES ROMANS,26750,Lundi - Vendredi : de 09h00 à 17h00,,04 75 47 10 58,
RY CONCEPT SAS,0,P.A de la Fourchette catz,CARENTAN,50500,Lundi - Vendredi : de 08h30 à 18h00,,02 33 71 17 00,
SARL BF ALU-PVC,0,za la combe,CHASPUZAC,43320,Lundi - Vendredi : de 08h00 à 17h00,,04 71 08 64 51,
SARL DELPY MENUISERIES,0,ZA Actipole les Tours,SAINT LAURENT LES TOURS,46400,Lundi - Vendredi : de 08h00 à 18h00,,05 65 40 74 19,
SARL HOUSSARD,0,3 Rue de la Cote,LANEUVILLE AU RUPT,55190,Lundi - Vendredi : de 08h00 à 12h00,,03 29 89 87 65,
SARL LEROUX ANFRAY,0,21 ZONE DU PAVE, MARCEY-LES-GREVES,50300,Lundi - Vendredi : de 08h30 à 17h30,,02 33 48 72 27,
SARL MAURIES MENUISERIES,0,ZAC LES CAUQUILLOUS,LAVAUR,81500,Lundi - Vendredi : de 09h00 à 17h00,,05 34 40 61 33,
SAS OUVERTURES D'HORIZON,0,4 LE CLOS GIRAUD,PANISSIERES,42360,Lundi - Vendredi : de 07h30 à 17h00,,06 77 88 22 76,
SERVIFERM,0,9 RUE HIPPOLYTE FONTAINE,CHALONS EN CHAMPAGNE,51000,Lundi - Vendredi : 08h00 à 18h00,,03 26 65 22 67,
SPADONE FERMETURES,0,76 GRAND RUE,BAVILLIERS,90800,Lundi - Vendredi : de 08h00 à 18h00,,03 84 22 45 22,
SUD OUEST HABITAT,0,ROUTE D'AUCH,MIELAN,32170,Lundi - Vendredi : de 08h00 à 17h00,,05 62 62 06 20,
TB CONFORT SARL,0,180 Bis Bd JB Pécout,PERTUIS,84120,Non communiqué,,04 90 77 86 13,
TRIHOME SARL,0,1 PLACE DU 11 NOVEMBRE 1918,SAINT GERMAIN DU BOIS,71330,Mardi - Vendredi : de 09h00 à 18h00,,06 84 99 20 19,https://wedoor.fr/expert/porte-de-garage-saone-et-loire/
TSCHOEPPE,0,Route de Thann,LUTTERBACH,68460,Lundi - Samedi : de 10h00 à 17h00,,03 67 29 08 45,
VILLEMIN - VM,0,ZA Les Mercières,VILLECHETIF,10410,Lundi - Samedi : de 09h00 à 18h00,,03 25 81 07 09,
VOLET ROULANT 33,0,LE ROI D'ESPAGNE,SAINT CIERS DE CANESSE,33710,Lundi - Vendredi : de 09h00 à 18h00,,06 09 20 54 08,
Établissements VALÉRO,1,189 rue de l'industrie,ST GEORGES DE RENEINS,69830,Lundi - Vendredi : de 9h30 à 17h30,,04 74 62 26 47,https://wedoor.fr/expert/porte-de-garage-villefranche-sur-saone/
MRG Habitat,1,23 rue René Cassin,GAILLARD,74240,"08:30-12:30 14:00-17:00","08:30-12:30 14:00-17:00",0450598535,https://wedoor.fr/expert/porte-de-garage-mrg-habitat-gaillard/
TRYBA NANCY,1,193 Rue Bertholet,LUDRES,54710,Lundi - Vendredi : 08:30-12:00 13:30-18:00,Samedi : 10:00-12:00 14:00-16:00,03 53 64 14 21,https://wedoor.fr/porte-de-garage-nancy/
TRYBA MULHOUSE,1,13A quai de Rotterdam,ILLZACH,68110,Lundi - Vendredi : 09:00-12:00 14:00-18:00,Samedi : 09:00-13:00,03 53 64 13 99,https://wedoor.fr/expert/porte-de-garage-tryba-mulhouse/